Timestamp	Year	Which company is the advertiser?	Please write a one-sentence description of the ad.	Ad title	Categories	YouTube video URL	Category: Animals	Category: Celebrity	Category: Children	Category: Humor	Category: Sex
1/29/2015 17:40:08	2015	P&G Always	A slightly feminist attitude for a feminine hygiene product, Always. "When did doing something "like a girl" become an insult?"	"When did doing something like a girl become an insult?"		<object id="flashObj" width="480" height="270" classid="clsid:D27CDB6E-AE6D-11cf-96B8-444553540000" codebase="http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=9,0,47,0"><param name="movie" value="http://c.brightcove.com/services/viewer/federated_f9?isVid=1&isUI=1" /><param name="bgcolor" value="#FFFFFF" /><param name="flashVars" value="videoId=4020190318001&playerID=792865957001&playerKey=AQ~~,AAAAABaD_Us~,27iukNn8neTiu2V3RNN9cU_M67_q36be&domain=embed&dynamicStreaming=true" /><param name="base" value="http://admin.brightcove.com" /><param name="seamlesstabbing" value="false" /><param name="allowFullScreen" value="true" /><param name="swLiveConnect" value="true" /><param name="allowScriptAccess" value="always" /><embed src="http://c.brightcove.com/services/viewer/federated_f9?isVid=1&isUI=1" bgcolor="#FFFFFF" flashVars="videoId=4020190318001&playerID=792865957001&playerKey=AQ~~,AAAAABaD_Us~,27iukNn8neTiu2V3RNN9cU_M67_q36be&domain=embed&dynamicStreaming=true" base="http://admin.brightcove.com" name="flashObj" width="480" height="270" seamlesstabbing="false" type="application/x-shockwave-flash" allowFullScreen="true" allowScriptAccess="always" swLiveConnect="true" pluginspage="http://www.macromedia.com/shockwave/download/index.cgi?P1_Prod_Version=ShockwaveFlash"></embed></object>	No	No	No	Yes	No
1/29/2015 17:43:31	2015	Avocados from Mexico	Just weird: Former NFL players Jerry Rice and Doug Flutie get ready for the first-ever draft. Sitting at an anchor desk in what appears to be a pre-historic setting, they discuss the rising cost of babysitters. And there's a rhinocerus.	First Draft Ever		https://www.youtube.com/watch?v=ujubb3QpSy0	No	Yes	No	No	No
1/29/2015 17:45:31	2015	Budweiser	A 90-second 1980s-themed Pac Man spot.	Real-Life Pac Man		http://bcove.me/mxs4lpca	No	No	No	Yes	No
1/29/2015 17:48:34	2015	BMW	Katie Couric and Bryant Gumble are confused by the new BMW i3 as they were confused by the internet in 1994.	Newfangled Idea		https://www.youtube.com/watch?v=U1jwWwJ-Mxc	No	Yes	No	Yes	No
1/29/2015 17:51:43	2015	Coca-Cola	Ads aiming to "tackle the pervasive negativity polluting social media feeds and comment threads across the Internet."	Make It Happy		https://www.youtube.com/watch?v=bO3XHIFRYhQ	No	No	No	Yes	No
1/29/2015 17:54:26	2015	Doritos	Continuing the company's crowd-sourced Super Bowl commercial contest.	Crash the Super Bowl		https://www.youtube.com/watch?v=hixeb7nGXCU	No	No	No	Yes	No
1/29/2015 17:55:55	2015	Dove Men+Care (Unilever)	Celebrating modern men, especially Dads.	Real Strength		http://bcove.me/s49orlmk	No	No	Yes	No	No
1/29/2015 18:04:18	2015	Go Daddy	Originally slated "Journey Home," an ad calculated to annoy pet lovers, but pulled it. Unclear what ad will run.			http://bcove.me/8ro3k8tz	Yes	Yes	No	No	No
1/29/2015 18:06:10	2015	Kia	Former "Remington Steele" and James Bond actor Pierce Brosnan will appear to promote the 2016 Kia Sorento.			https://www.youtube.com/watch?v=rSqqCI0LNHs	No	Yes	No	No	No
1/29/2015 18:08:18	2015	Lexus Toyota	Lexus NX drives around a neon-lit parking lot in a music-video type ad.	Make Some Noise		https://www.youtube.com/watch?v=2QTnXnaUVSM	No	No	No	No	Yes
