Timestamp	Year	Which company is the advertiser?	Please write a one-sentence description of the ad.	Ad title	Categories	YouTube video URL	Category: Animals	Category: Celebrity	Category: Children	Category: Humor	Category: Sex
1/29/2015 18:11:14	2015	Loctite	Super Glue dance commercial.	Win At Glue		https://www.youtube.com/watch?v=2QTnXnaUVSM	No	No	No	Yes	No
1/29/2015 18:13:50	2015	McDonalds	A 60-second spot expected to "evolve" the "I'm lovin' it" theme.	I'm lovin' it		http://bcove.me/5a95aodf	No	No	No	Yes	No
1/29/2015 18:16:48	2015	Mercedes Benz	 A retelling of the tortoise vs. the hare fable. AMG GT	"It's no fairy tale"		https://www.youtube.com/watch?v=LQvdIGeUUvo	Yes	No	No	No	No
1/29/2015 18:21:14	2015	Mophie	Ad for the charging company features an apocalypse, as God's smartphone runs out of battery power.			http://bcove.me/8gxkfcax	Yes	No	No	Yes	No
1/29/2015 18:24:09	2015	Nationwide	Actress-writer Mindy Kaling in a funny spot for the insurance company.	Invisible Mindy		https://www.youtube.com/watch?v=P30yUzwSTKo	No	Yes	No	Yes	No
1/29/2015 18:27:39	2015	Nissan	Back in the game after nearly 20 years, Nissan hired YouTube creators to create web videos about Dads under the hashtag #withdad	With Dad		https://www.youtube.com/watch?v=_znNS9zLb6c	No	No	Yes	No	No
1/29/2015 18:29:58	2015	NFL	NFL donated 30-seconds for an ad on behalf of No More, an organization formed in 2013 to combat domestic violence and sexual assault. A woman calling 911 pretends to order a pizza as she covertly alerts the operator that her abuser is in her house. The ad does not include any NFL branding.	No More		https://www.youtube.com/watch?v=rTJT3fVv1vU	No	No	No	No	No
1/29/2015 18:32:50	2015	Snickers (Mars Inc.)	Continuing the "You're Not You When You're Hungry" campaign with  Danny Trejo doing a "Brady Bunch" parody.	You're Not You When You're Hungry			No	Yes	No	Yes	No
1/29/2015 18:37:33	2015	T Mobile	Kim Kardashian West parodies herself in a spot about T Mobile's rollover unused data plan	Help save the data		https://www.youtube.com/watch?v=ZTwzsV3I3OQ	No	Yes	No	Yes	No
1/29/2015 18:40:48	2015	Toyota	One spot stars starring Team Toyota athlete Amy Purdy, a U.S. Paralympic Team snowboarder, and another celebrates "great, bold dads" to promote the new Toyota Camry. 	How great I am		https://www.youtube.com/watch?v=ZTwzsV3I3OQ	No	Yes	No	No	No
1/29/2015 18:44:09	2015	Victoria's Secret	features Victoria's Secret Angels and highlights the brand's signature pink shopping bag, ending with the line: "let the real games begin." Set to "I'm in the Mood for Love" by Brenda Lee	Let the real games begin		https://www.youtube.com/watch?v=8lZgpaVpKQk	No	No	No	No	Yes
1/29/2015 18:46:22	2015	Weather Tech	The car accessories company promotes its car liners, "proudly made in America"	America at work		http://bcove.me/frvdh7gs	No	No	No	No	No
1/29/2015 18:48:59	2015	Wix.com	The company promotes it's services to simplify website creation, specifically for small business owners, as former NFL quarterback Brett Favre gets business advice from Rex Lee (Lloyd on "Entourage").	It's That Easy		https://www.youtube.com/watch?v=8IaaxVgIIr8	No	Yes	No	No	No
